Date,Rate,Currency,Frequency,Source,Country code,Country
1988-11-30,2.7,XCD,M,IMF,AI,Anguilla
1988-12-31,2.7,XCD,M,IMF,AI,Anguilla
1989-01-31,2.7,XCD,M,IMF,AI,Anguilla
1989-02-28,2.7,XCD,M,IMF,AI,Anguilla
1989-03-31,2.7,XCD,M,IMF,AI,Anguilla
1989-04-30,2.7,XCD,M,IMF,AI,Anguilla
1989-05-31,2.7,XCD,M,IMF,AI,Anguilla
1989-06-30,2.7,XCD,M,IMF,AI,Anguilla
1989-07-31,2.7,XCD,M,IMF,AI,Anguilla
1989-08-31,2.7,XCD,M,IMF,AI,Anguilla
1989-09-30,2.7,XCD,M,IMF,AI,Anguilla
1989-10-31,2.7,XCD,M,IMF,AI,Anguilla
1989-11-30,2.7,XCD,M,IMF,AI,Anguilla
1989-12-31,2.7,XCD,M,IMF,AI,Anguilla
1990-01-31,2.7,XCD,M,IMF,AI,Anguilla
1990-02-28,2.7,XCD,M,IMF,AI,Anguilla
1990-03-31,2.7,XCD,M,IMF,AI,Anguilla
1990-04-30,2.7,XCD,M,IMF,AI,Anguilla
1990-05-31,2.7,XCD,M,IMF,AI,Anguilla
1990-06-30,2.7,XCD,M,IMF,AI,Anguilla
1990-07-31,2.7,XCD,M,IMF,AI,Anguilla
1990-08-31,2.7,XCD,M,IMF,AI,Anguilla
1990-09-30,2.7,XCD,M,IMF,AI,Anguilla
1990-10-31,2.7,XCD,M,IMF,AI,Anguilla
1990-11-30,2.7,XCD,M,IMF,AI,Anguilla
1990-12-31,2.7,XCD,M,IMF,AI,Anguilla
1991-01-31,2.7,XCD,M,IMF,AI,Anguilla
1991-02-28,2.7,XCD,M,IMF,AI,Anguilla
1991-03-31,2.7,XCD,M,IMF,AI,Anguilla
1991-04-30,2.7,XCD,M,IMF,AI,Anguilla
1991-05-31,2.7,XCD,M,IMF,AI,Anguilla
1991-06-30,2.7,XCD,M,IMF,AI,Anguilla
1991-07-31,2.7,XCD,M,IMF,AI,Anguilla
1991-08-31,2.7,XCD,M,IMF,AI,Anguilla
1991-09-30,2.7,XCD,M,IMF,AI,Anguilla
1991-10-31,2.7,XCD,M,IMF,AI,Anguilla
1991-11-30,2.7,XCD,M,IMF,AI,Anguilla
1991-12-31,2.7,XCD,M,IMF,AI,Anguilla
1992-01-31,2.7,XCD,M,IMF,AI,Anguilla
1992-02-29,2.7,XCD,M,IMF,AI,Anguilla
1992-03-31,2.7,XCD,M,IMF,AI,Anguilla
1992-04-30,2.7,XCD,M,IMF,AI,Anguilla
1992-05-31,2.7,XCD,M,IMF,AI,Anguilla
1992-06-30,2.7,XCD,M,IMF,AI,Anguilla
1992-07-31,2.7,XCD,M,IMF,AI,Anguilla
1992-08-31,2.7,XCD,M,IMF,AI,Anguilla
1992-09-30,2.7,XCD,M,IMF,AI,Anguilla
1992-10-31,2.7,XCD,M,IMF,AI,Anguilla
1992-11-30,2.7,XCD,M,IMF,AI,Anguilla
1992-12-31,2.7,XCD,M,IMF,AI,Anguilla
1993-01-31,2.7,XCD,M,IMF,AI,Anguilla
1993-02-28,2.7,XCD,M,IMF,AI,Anguilla
1993-03-31,2.7,XCD,M,IMF,AI,Anguilla
1993-04-30,2.7,XCD,M,IMF,AI,Anguilla
1993-05-31,2.7,XCD,M,IMF,AI,Anguilla
1993-06-30,2.7,XCD,M,IMF,AI,Anguilla
1993-07-31,2.7,XCD,M,IMF,AI,Anguilla
1993-08-31,2.7,XCD,M,IMF,AI,Anguilla
1993-09-30,2.7,XCD,M,IMF,AI,Anguilla
1993-10-31,2.7,XCD,M,IMF,AI,Anguilla
1993-11-30,2.7,XCD,M,IMF,AI,Anguilla
1993-12-31,2.7,XCD,M,IMF,AI,Anguilla
1994-01-31,2.7,XCD,M,IMF,AI,Anguilla
1994-02-28,2.7,XCD,M,IMF,AI,Anguilla
1994-03-31,2.7,XCD,M,IMF,AI,Anguilla
1994-04-30,2.7,XCD,M,IMF,AI,Anguilla
1994-05-31,2.7,XCD,M,IMF,AI,Anguilla
1994-06-30,2.7,XCD,M,IMF,AI,Anguilla
1994-07-31,2.7,XCD,M,IMF,AI,Anguilla
1994-08-31,2.7,XCD,M,IMF,AI,Anguilla
1994-09-30,2.7,XCD,M,IMF,AI,Anguilla
1994-10-31,2.7,XCD,M,IMF,AI,Anguilla
1994-11-30,2.7,XCD,M,IMF,AI,Anguilla
1994-12-31,2.7,XCD,M,IMF,AI,Anguilla
1995-01-31,2.7,XCD,M,IMF,AI,Anguilla
1995-02-28,2.7,XCD,M,IMF,AI,Anguilla
1995-03-31,2.7,XCD,M,IMF,AI,Anguilla
1995-04-30,2.7,XCD,M,IMF,AI,Anguilla
1995-05-31,2.7,XCD,M,IMF,AI,Anguilla
1995-06-30,2.7,XCD,M,IMF,AI,Anguilla
1995-07-31,2.7,XCD,M,IMF,AI,Anguilla
1995-08-31,2.7,XCD,M,IMF,AI,Anguilla
1995-09-30,2.7,XCD,M,IMF,AI,Anguilla
1995-10-31,2.7,XCD,M,IMF,AI,Anguilla
1995-11-30,2.7,XCD,M,IMF,AI,Anguilla
1995-12-31,2.7,XCD,M,IMF,AI,Anguilla
1996-01-31,2.7,XCD,M,IMF,AI,Anguilla
1996-02-29,2.7,XCD,M,IMF,AI,Anguilla
1996-03-31,2.7,XCD,M,IMF,AI,Anguilla
1996-04-30,2.7,XCD,M,IMF,AI,Anguilla
1996-05-31,2.7,XCD,M,IMF,AI,Anguilla
1996-06-30,2.7,XCD,M,IMF,AI,Anguilla
1996-07-31,2.7,XCD,M,IMF,AI,Anguilla
1996-08-31,2.7,XCD,M,IMF,AI,Anguilla
1996-09-30,2.7,XCD,M,IMF,AI,Anguilla
1996-10-31,2.7,XCD,M,IMF,AI,Anguilla
1996-11-30,2.7,XCD,M,IMF,AI,Anguilla
1996-12-31,2.7,XCD,M,IMF,AI,Anguilla
1997-01-31,2.7,XCD,M,IMF,AI,Anguilla
1997-02-28,2.7,XCD,M,IMF,AI,Anguilla
1997-03-31,2.7,XCD,M,IMF,AI,Anguilla
1997-04-30,2.7,XCD,M,IMF,AI,Anguilla
1997-05-31,2.7,XCD,M,IMF,AI,Anguilla
1997-06-30,2.7,XCD,M,IMF,AI,Anguilla
1997-07-31,2.7,XCD,M,IMF,AI,Anguilla
1997-08-31,2.7,XCD,M,IMF,AI,Anguilla
1997-09-30,2.7,XCD,M,IMF,AI,Anguilla
1997-10-31,2.7,XCD,M,IMF,AI,Anguilla
1997-11-30,2.7,XCD,M,IMF,AI,Anguilla
1997-12-31,2.7,XCD,M,IMF,AI,Anguilla
1998-01-31,2.7,XCD,M,IMF,AI,Anguilla
1998-02-28,2.7,XCD,M,IMF,AI,Anguilla
1998-03-31,2.7,XCD,M,IMF,AI,Anguilla
1998-04-30,2.7,XCD,M,IMF,AI,Anguilla
1998-05-31,2.7,XCD,M,IMF,AI,Anguilla
1998-06-30,2.7,XCD,M,IMF,AI,Anguilla
1998-07-31,2.7,XCD,M,IMF,AI,Anguilla
1998-08-31,2.7,XCD,M,IMF,AI,Anguilla
1998-09-30,2.7,XCD,M,IMF,AI,Anguilla
1998-10-31,2.7,XCD,M,IMF,AI,Anguilla
1998-11-30,2.7,XCD,M,IMF,AI,Anguilla
1998-12-31,2.7,XCD,M,IMF,AI,Anguilla
1999-01-31,2.7,XCD,M,IMF,AI,Anguilla
1999-02-28,2.7,XCD,M,IMF,AI,Anguilla
1999-03-31,2.7,XCD,M,IMF,AI,Anguilla
1999-04-30,2.7,XCD,M,IMF,AI,Anguilla
1999-05-31,2.7,XCD,M,IMF,AI,Anguilla
1999-06-30,2.7,XCD,M,IMF,AI,Anguilla
1999-07-31,2.7,XCD,M,IMF,AI,Anguilla
1999-08-31,2.7,XCD,M,IMF,AI,Anguilla
1999-09-30,2.7,XCD,M,IMF,AI,Anguilla
1999-10-31,2.7,XCD,M,IMF,AI,Anguilla
1999-11-30,2.7,XCD,M,IMF,AI,Anguilla
1999-12-31,2.7,XCD,M,IMF,AI,Anguilla
2000-01-31,2.7,XCD,M,IMF,AI,Anguilla
2000-02-29,2.7,XCD,M,IMF,AI,Anguilla
2000-03-31,2.7,XCD,M,IMF,AI,Anguilla
2000-04-30,2.7,XCD,M,IMF,AI,Anguilla
2000-05-31,2.7,XCD,M,IMF,AI,Anguilla
2000-06-30,2.7,XCD,M,IMF,AI,Anguilla
2000-07-31,2.7,XCD,M,IMF,AI,Anguilla
2000-08-31,2.7,XCD,M,IMF,AI,Anguilla
2000-09-30,2.7,XCD,M,IMF,AI,Anguilla
2000-10-31,2.7,XCD,M,IMF,AI,Anguilla
2000-11-30,2.7,XCD,M,IMF,AI,Anguilla
2000-12-31,2.7,XCD,M,IMF,AI,Anguilla
2001-01-31,2.7,XCD,M,IMF,AI,Anguilla
2001-02-28,2.7,XCD,M,IMF,AI,Anguilla
2001-03-31,2.7,XCD,M,IMF,AI,Anguilla
2001-04-30,2.7,XCD,M,IMF,AI,Anguilla
2001-05-31,2.7,XCD,M,IMF,AI,Anguilla
2001-06-30,2.7,XCD,M,IMF,AI,Anguilla
2001-07-31,2.7,XCD,M,IMF,AI,Anguilla
2001-08-31,2.7,XCD,M,IMF,AI,Anguilla
2001-09-30,2.7,XCD,M,IMF,AI,Anguilla
2001-10-31,2.7,XCD,M,IMF,AI,Anguilla
2001-11-30,2.7,XCD,M,IMF,AI,Anguilla
2001-12-31,2.7,XCD,M,IMF,AI,Anguilla
2002-01-31,2.7,XCD,M,IMF,AI,Anguilla
2002-02-28,2.7,XCD,M,IMF,AI,Anguilla
2002-03-31,2.7,XCD,M,IMF,AI,Anguilla
2002-04-30,2.7,XCD,M,IMF,AI,Anguilla
2002-05-31,2.7,XCD,M,IMF,AI,Anguilla
2002-06-30,2.7,XCD,M,IMF,AI,Anguilla
2002-07-31,2.7,XCD,M,IMF,AI,Anguilla
2002-08-31,2.7,XCD,M,IMF,AI,Anguilla
2002-09-30,2.7,XCD,M,IMF,AI,Anguilla
2002-10-31,2.7,XCD,M,IMF,AI,Anguilla
2002-11-30,2.7,XCD,M,IMF,AI,Anguilla
2002-12-31,2.7,XCD,M,IMF,AI,Anguilla
2003-01-31,2.7,XCD,M,IMF,AI,Anguilla
2003-02-28,2.7,XCD,M,IMF,AI,Anguilla
2003-03-31,2.7,XCD,M,IMF,AI,Anguilla
2003-04-30,2.7,XCD,M,IMF,AI,Anguilla
2003-05-31,2.7,XCD,M,IMF,AI,Anguilla
2003-06-30,2.7,XCD,M,IMF,AI,Anguilla
2003-07-31,2.7,XCD,M,IMF,AI,Anguilla
2003-08-31,2.7,XCD,M,IMF,AI,Anguilla
2003-09-30,2.7,XCD,M,IMF,AI,Anguilla
2003-10-31,2.7,XCD,M,IMF,AI,Anguilla
2003-11-30,2.7,XCD,M,IMF,AI,Anguilla
2003-12-31,2.7,XCD,M,IMF,AI,Anguilla
2004-01-31,2.7,XCD,M,IMF,AI,Anguilla
2004-02-29,2.7,XCD,M,IMF,AI,Anguilla
2004-03-31,2.7,XCD,M,IMF,AI,Anguilla
2004-04-30,2.7,XCD,M,IMF,AI,Anguilla
2004-05-31,2.7,XCD,M,IMF,AI,Anguilla
2004-06-30,2.7,XCD,M,IMF,AI,Anguilla
2004-07-31,2.7,XCD,M,IMF,AI,Anguilla
2004-08-31,2.7,XCD,M,IMF,AI,Anguilla
2004-09-30,2.7,XCD,M,IMF,AI,Anguilla
2004-10-31,2.7,XCD,M,IMF,AI,Anguilla
2004-11-30,2.7,XCD,M,IMF,AI,Anguilla
2004-12-31,2.7,XCD,M,IMF,AI,Anguilla
2005-01-31,2.7,XCD,M,IMF,AI,Anguilla
2005-02-28,2.7,XCD,M,IMF,AI,Anguilla
2005-03-31,2.7,XCD,M,IMF,AI,Anguilla
2005-04-30,2.7,XCD,M,IMF,AI,Anguilla
2005-05-31,2.7,XCD,M,IMF,AI,Anguilla
2005-06-30,2.7,XCD,M,IMF,AI,Anguilla
2005-07-31,2.7,XCD,M,IMF,AI,Anguilla
2005-08-31,2.7,XCD,M,IMF,AI,Anguilla
2005-09-30,2.7,XCD,M,IMF,AI,Anguilla
2005-10-31,2.7,XCD,M,IMF,AI,Anguilla
2005-11-30,2.7,XCD,M,IMF,AI,Anguilla
2005-12-31,2.7,XCD,M,IMF,AI,Anguilla
2006-01-31,2.7,XCD,M,IMF,AI,Anguilla
2006-02-28,2.7,XCD,M,IMF,AI,Anguilla
2006-03-31,2.7,XCD,M,IMF,AI,Anguilla
2006-04-30,2.7,XCD,M,IMF,AI,Anguilla
2006-05-31,2.7,XCD,M,IMF,AI,Anguilla
2006-06-30,2.7,XCD,M,IMF,AI,Anguilla
2006-07-31,2.7,XCD,M,IMF,AI,Anguilla
2006-08-31,2.7,XCD,M,IMF,AI,Anguilla
2006-09-30,2.7,XCD,M,IMF,AI,Anguilla
2006-10-31,2.7,XCD,M,IMF,AI,Anguilla
2006-11-30,2.7,XCD,M,IMF,AI,Anguilla
2006-12-31,2.7,XCD,M,IMF,AI,Anguilla
2007-01-31,2.7,XCD,M,IMF,AI,Anguilla
2007-02-28,2.7,XCD,M,IMF,AI,Anguilla
2007-03-31,2.7,XCD,M,IMF,AI,Anguilla
2007-04-30,2.7,XCD,M,IMF,AI,Anguilla
2007-05-31,2.7,XCD,M,IMF,AI,Anguilla
2007-06-30,2.7,XCD,M,IMF,AI,Anguilla
2007-07-31,2.7,XCD,M,IMF,AI,Anguilla
2007-08-31,2.7,XCD,M,IMF,AI,Anguilla
2007-09-30,2.7,XCD,M,IMF,AI,Anguilla
2007-10-31,2.7,XCD,M,IMF,AI,Anguilla
2007-11-30,2.7,XCD,M,IMF,AI,Anguilla
2007-12-31,2.7,XCD,M,IMF,AI,Anguilla
2008-01-31,2.7,XCD,M,IMF,AI,Anguilla
2008-02-29,2.7,XCD,M,IMF,AI,Anguilla
2008-03-31,2.7,XCD,M,IMF,AI,Anguilla
2008-04-30,2.7,XCD,M,IMF,AI,Anguilla
2008-05-31,2.7,XCD,M,IMF,AI,Anguilla
2008-06-30,2.7,XCD,M,IMF,AI,Anguilla
2008-07-31,2.7,XCD,M,IMF,AI,Anguilla
2008-08-31,2.7,XCD,M,IMF,AI,Anguilla
2008-09-30,2.7,XCD,M,IMF,AI,Anguilla
2008-10-31,2.7,XCD,M,IMF,AI,Anguilla
2008-11-30,2.7,XCD,M,IMF,AI,Anguilla
2008-12-31,2.7,XCD,M,IMF,AI,Anguilla
2009-01-31,2.7,XCD,M,IMF,AI,Anguilla
2009-02-28,2.7,XCD,M,IMF,AI,Anguilla
2009-03-31,2.7,XCD,M,IMF,AI,Anguilla
2009-04-30,2.7,XCD,M,IMF,AI,Anguilla
2009-05-31,2.7,XCD,M,IMF,AI,Anguilla
2009-06-30,2.7,XCD,M,IMF,AI,Anguilla
2009-07-31,2.7,XCD,M,IMF,AI,Anguilla
2009-08-31,2.7,XCD,M,IMF,AI,Anguilla
2009-09-30,2.7,XCD,M,IMF,AI,Anguilla
2009-10-31,2.7,XCD,M,IMF,AI,Anguilla
2009-11-30,2.7,XCD,M,IMF,AI,Anguilla
2009-12-31,2.7,XCD,M,IMF,AI,Anguilla
2010-01-31,2.7,XCD,M,IMF,AI,Anguilla
2010-02-28,2.7,XCD,M,IMF,AI,Anguilla
2010-03-31,2.7,XCD,M,IMF,AI,Anguilla
2010-04-30,2.7,XCD,M,IMF,AI,Anguilla
2010-05-31,2.7,XCD,M,IMF,AI,Anguilla
2010-06-30,2.7,XCD,M,IMF,AI,Anguilla
2010-07-31,2.7,XCD,M,IMF,AI,Anguilla
2010-08-31,2.7,XCD,M,IMF,AI,Anguilla
2010-09-30,2.7,XCD,M,IMF,AI,Anguilla
2010-10-31,2.7,XCD,M,IMF,AI,Anguilla
2010-11-30,2.7,XCD,M,IMF,AI,Anguilla
2010-12-31,2.7,XCD,M,IMF,AI,Anguilla
2011-01-31,2.7,XCD,M,IMF,AI,Anguilla
2011-02-28,2.7,XCD,M,IMF,AI,Anguilla
2011-03-31,2.7,XCD,M,IMF,AI,Anguilla
2011-04-30,2.7,XCD,M,IMF,AI,Anguilla
2011-05-31,2.7,XCD,M,IMF,AI,Anguilla
2011-06-30,2.7,XCD,M,IMF,AI,Anguilla
2011-07-31,2.7,XCD,M,IMF,AI,Anguilla
2011-08-31,2.7,XCD,M,IMF,AI,Anguilla
2011-09-30,2.7,XCD,M,IMF,AI,Anguilla
2011-10-31,2.7,XCD,M,IMF,AI,Anguilla
2011-11-30,2.7,XCD,M,IMF,AI,Anguilla
2011-12-31,2.7,XCD,M,IMF,AI,Anguilla
2012-01-31,2.7,XCD,M,IMF,AI,Anguilla
2012-02-29,2.7,XCD,M,IMF,AI,Anguilla
2012-03-31,2.7,XCD,M,IMF,AI,Anguilla
2012-04-30,2.7,XCD,M,IMF,AI,Anguilla
2012-05-31,2.7,XCD,M,IMF,AI,Anguilla
2012-06-30,2.7,XCD,M,IMF,AI,Anguilla
2012-07-31,2.7,XCD,M,IMF,AI,Anguilla
2012-08-31,2.7,XCD,M,IMF,AI,Anguilla
2012-09-30,2.7,XCD,M,IMF,AI,Anguilla
2012-10-31,2.7,XCD,M,IMF,AI,Anguilla
2012-11-30,2.7,XCD,M,IMF,AI,Anguilla
2012-12-31,2.7,XCD,M,IMF,AI,Anguilla
2013-01-31,2.7,XCD,M,IMF,AI,Anguilla
2013-02-28,2.7,XCD,M,IMF,AI,Anguilla
2013-03-31,2.7,XCD,M,IMF,AI,Anguilla
2013-04-30,2.7,XCD,M,IMF,AI,Anguilla
2013-05-31,2.7,XCD,M,IMF,AI,Anguilla
2013-06-30,2.7,XCD,M,IMF,AI,Anguilla
2013-07-31,2.7,XCD,M,IMF,AI,Anguilla
2013-08-31,2.7,XCD,M,IMF,AI,Anguilla
2013-09-30,2.7,XCD,M,IMF,AI,Anguilla
2013-10-31,2.7,XCD,M,IMF,AI,Anguilla
2013-11-30,2.7,XCD,M,IMF,AI,Anguilla
2013-12-31,2.7,XCD,M,IMF,AI,Anguilla
2014-01-31,2.7,XCD,M,IMF,AI,Anguilla
2014-02-28,2.7,XCD,M,IMF,AI,Anguilla
2014-03-31,2.7,XCD,M,IMF,AI,Anguilla
2014-04-30,2.7,XCD,M,IMF,AI,Anguilla
2014-05-31,2.7,XCD,M,IMF,AI,Anguilla
2014-06-30,2.7,XCD,M,IMF,AI,Anguilla
2014-07-31,2.7,XCD,M,IMF,AI,Anguilla
2014-08-31,2.7,XCD,M,IMF,AI,Anguilla
2014-09-30,2.7,XCD,M,IMF,AI,Anguilla
2014-10-31,2.7,XCD,M,IMF,AI,Anguilla
2014-11-30,2.7,XCD,M,IMF,AI,Anguilla
2014-12-31,2.7,XCD,M,IMF,AI,Anguilla
2015-01-31,2.7,XCD,M,IMF,AI,Anguilla
2015-02-28,2.7,XCD,M,IMF,AI,Anguilla
2015-03-31,2.7,XCD,M,IMF,AI,Anguilla
2015-04-30,2.7,XCD,M,IMF,AI,Anguilla
2015-05-31,2.7,XCD,M,IMF,AI,Anguilla
2015-06-30,2.7,XCD,M,IMF,AI,Anguilla
2015-07-31,2.7,XCD,M,IMF,AI,Anguilla
2015-08-31,2.7,XCD,M,IMF,AI,Anguilla
2015-09-30,2.7,XCD,M,IMF,AI,Anguilla
2015-10-31,2.7,XCD,M,IMF,AI,Anguilla
2015-11-30,2.7,XCD,M,IMF,AI,Anguilla
2015-12-31,2.7,XCD,M,IMF,AI,Anguilla
2016-01-31,2.7,XCD,M,IMF,AI,Anguilla
2016-02-29,2.7,XCD,M,IMF,AI,Anguilla
2016-03-31,2.7,XCD,M,IMF,AI,Anguilla
2016-04-30,2.7,XCD,M,IMF,AI,Anguilla
2016-05-31,2.7,XCD,M,IMF,AI,Anguilla
2016-06-30,2.7,XCD,M,IMF,AI,Anguilla
2016-07-31,2.7,XCD,M,IMF,AI,Anguilla
2016-08-31,2.7,XCD,M,IMF,AI,Anguilla
2016-09-30,2.7,XCD,M,IMF,AI,Anguilla
2016-10-31,2.7,XCD,M,IMF,AI,Anguilla
2016-11-30,2.7,XCD,M,IMF,AI,Anguilla
2016-12-31,2.7,XCD,M,IMF,AI,Anguilla
2017-01-31,2.7,XCD,M,IMF,AI,Anguilla
2017-02-28,2.7,XCD,M,IMF,AI,Anguilla
2017-03-31,2.7,XCD,M,IMF,AI,Anguilla
2017-04-30,2.7,XCD,M,IMF,AI,Anguilla
2017-05-31,2.7,XCD,M,IMF,AI,Anguilla
2017-06-30,2.7,XCD,M,IMF,AI,Anguilla
2017-07-31,2.7,XCD,M,IMF,AI,Anguilla
2017-08-31,2.7,XCD,M,IMF,AI,Anguilla
2017-09-30,2.7,XCD,M,IMF,AI,Anguilla
2017-10-31,2.7,XCD,M,IMF,AI,Anguilla
2017-11-30,2.7,XCD,M,IMF,AI,Anguilla
2017-12-31,2.7,XCD,M,IMF,AI,Anguilla
2018-01-31,2.7,XCD,M,IMF,AI,Anguilla
2018-02-28,2.7,XCD,M,IMF,AI,Anguilla
2018-03-31,2.7,XCD,M,IMF,AI,Anguilla
2018-04-30,2.7,XCD,M,IMF,AI,Anguilla
2018-05-31,2.7,XCD,M,IMF,AI,Anguilla
2018-06-30,2.7,XCD,M,IMF,AI,Anguilla
2018-07-31,2.7,XCD,M,IMF,AI,Anguilla
2018-08-31,2.7,XCD,M,IMF,AI,Anguilla
2018-09-30,2.7,XCD,M,IMF,AI,Anguilla
2018-10-31,2.7,XCD,M,IMF,AI,Anguilla
2018-11-30,2.7,XCD,M,IMF,AI,Anguilla
2018-12-31,2.7,XCD,M,IMF,AI,Anguilla
2019-01-31,2.7,XCD,M,IMF,AI,Anguilla
2019-02-28,2.7,XCD,M,IMF,AI,Anguilla
2019-03-31,2.7,XCD,M,IMF,AI,Anguilla
2019-04-30,2.7,XCD,M,IMF,AI,Anguilla
2019-05-31,2.7,XCD,M,IMF,AI,Anguilla
2019-06-30,2.7,XCD,M,IMF,AI,Anguilla
2019-07-31,2.7,XCD,M,IMF,AI,Anguilla
2019-08-31,2.7,XCD,M,IMF,AI,Anguilla
2019-09-30,2.7,XCD,M,IMF,AI,Anguilla
2019-10-31,2.7,XCD,M,IMF,AI,Anguilla
2019-11-30,2.7,XCD,M,IMF,AI,Anguilla
2019-12-31,2.7,XCD,M,IMF,AI,Anguilla
2020-01-31,2.7,XCD,M,IMF,AI,Anguilla
2020-02-29,2.7,XCD,M,IMF,AI,Anguilla
2020-03-31,2.7,XCD,M,IMF,AI,Anguilla
2020-04-30,2.7,XCD,M,IMF,AI,Anguilla
2020-05-31,2.7,XCD,M,IMF,AI,Anguilla
2020-06-30,2.7,XCD,M,IMF,AI,Anguilla
2020-07-31,2.7,XCD,M,IMF,AI,Anguilla
2020-08-31,2.7,XCD,M,IMF,AI,Anguilla
2020-09-30,2.7,XCD,M,IMF,AI,Anguilla
2020-10-31,2.7,XCD,M,IMF,AI,Anguilla
2020-11-30,2.7,XCD,M,IMF,AI,Anguilla
2020-12-31,2.7,XCD,M,IMF,AI,Anguilla
2021-01-31,2.7,XCD,M,IMF,AI,Anguilla
2021-02-28,2.7,XCD,M,IMF,AI,Anguilla
2021-03-31,2.7,XCD,M,IMF,AI,Anguilla
2021-04-30,2.7,XCD,M,IMF,AI,Anguilla
2021-05-31,2.7,XCD,M,IMF,AI,Anguilla
2021-06-30,2.7,XCD,M,IMF,AI,Anguilla
2021-07-31,2.7,XCD,M,IMF,AI,Anguilla
2021-08-31,2.7,XCD,M,IMF,AI,Anguilla
2021-09-30,2.7,XCD,M,IMF,AI,Anguilla
2021-10-31,2.7,XCD,M,IMF,AI,Anguilla
2021-11-30,2.7,XCD,M,IMF,AI,Anguilla
2021-12-31,2.7,XCD,M,IMF,AI,Anguilla
2022-01-31,2.7,XCD,M,IMF,AI,Anguilla
2022-02-28,2.7,XCD,M,IMF,AI,Anguilla
2022-03-31,2.7,XCD,M,IMF,AI,Anguilla
2022-04-30,2.7,XCD,M,IMF,AI,Anguilla
2022-05-31,2.7,XCD,M,IMF,AI,Anguilla
2022-06-30,2.7,XCD,M,IMF,AI,Anguilla
2022-07-31,2.7,XCD,M,IMF,AI,Anguilla
2022-08-31,2.7,XCD,M,IMF,AI,Anguilla
1957-01-31,1.715379999,XCD,M,IMF,AG,Antigua and Barbuda
1957-02-28,1.715829999,XCD,M,IMF,AG,Antigua and Barbuda
1957-03-31,1.721969999,XCD,M,IMF,AG,Antigua and Barbuda
1957-04-30,1.719689999,XCD,M,IMF,AG,Antigua and Barbuda
1957-05-31,1.719309999,XCD,M,IMF,AG,Antigua and Barbuda
1957-06-30,1.719689999,XCD,M,IMF,AG,Antigua and Barbuda
1957-07-31,1.723509999,XCD,M,IMF,AG,Antigua and Barbuda
1957-08-31,1.724639999,XCD,M,IMF,AG,Antigua and Barbuda
1957-09-30,1.716969999,XCD,M,IMF,AG,Antigua and Barbuda
1957-10-31,1.716239999,XCD,M,IMF,AG,Antigua and Barbuda
1957-11-30,1.710479999,XCD,M,IMF,AG,Antigua and Barbuda
1957-12-31,1.678669999,XCD,M,IMF,AG,Antigua and Barbuda
1958-01-31,1.704419999,XCD,M,IMF,AG,Antigua and Barbuda
1958-02-28,1.704419999,XCD,M,IMF,AG,Antigua and Barbuda
1958-03-31,1.704419999,XCD,M,IMF,AG,Antigua and Barbuda
1958-04-30,1.703199999,XCD,M,IMF,AG,Antigua and Barbuda
1958-05-31,1.704069999,XCD,M,IMF,AG,Antigua and Barbuda
1958-06-30,1.712329999,XCD,M,IMF,AG,Antigua and Barbuda
1958-07-31,1.711219999,XCD,M,IMF,AG,Antigua and Barbuda
1958-08-31,1.713179999,XCD,M,IMF,AG,Antigua and Barbuda
1958-09-30,1.710129999,XCD,M,IMF,AG,Antigua and Barbuda
1958-10-31,1.710479999,XCD,M,IMF,AG,Antigua and Barbuda
1958-11-30,1.711599999,XCD,M,IMF,AG,Antigua and Barbuda
1958-12-31,1.712769999,XCD,M,IMF,AG,Antigua and Barbuda
1959-01-31,1.708549999,XCD,M,IMF,AG,Antigua and Barbuda
1959-02-28,1.710919999,XCD,M,IMF,AG,Antigua and Barbuda
1959-03-31,1.704419999,XCD,M,IMF,AG,Antigua and Barbuda
1959-04-30,1.704419999,XCD,M,IMF,AG,Antigua and Barbuda
1959-05-31,1.707099999,XCD,M,IMF,AG,Antigua and Barbuda
1959-06-30,1.705869999,XCD,M,IMF,AG,Antigua and Barbuda
1959-07-31,1.707449999,XCD,M,IMF,AG,Antigua and Barbuda
1959-08-31,1.710859999,XCD,M,IMF,AG,Antigua and Barbuda
1959-09-30,1.711599999,XCD,M,IMF,AG,Antigua and Barbuda
1959-10-31,1.710859999,XCD,M,IMF,AG,Antigua and Barbuda
1959-11-30,1.713179999,XCD,M,IMF,AG,Antigua and Barbuda
1959-12-31,1.714299999,XCD,M,IMF,AG,Antigua and Barbuda
1960-01-31,1.712769999,XCD,M,IMF,AG,Antigua and Barbuda
1960-02-29,1.711949999,XCD,M,IMF,AG,Antigua and Barbuda
1960-03-31,1.709689999,XCD,M,IMF,AG,Antigua and Barbuda
1960-04-30,1.708909999,XCD,M,IMF,AG,Antigua and Barbuda
1960-05-31,1.712769999,XCD,M,IMF,AG,Antigua and Barbuda
1960-06-30,1.710069999,XCD,M,IMF,AG,Antigua and Barbuda
1960-07-31,1.708849999,XCD,M,IMF,AG,Antigua and Barbuda
1960-08-31,1.707389999,XCD,M,IMF,AG,Antigua and Barbuda
1960-09-30,1.707829999,XCD,M,IMF,AG,Antigua and Barbuda
1960-10-31,1.704799999,XCD,M,IMF,AG,Antigua and Barbuda
1960-11-30,1.707829999,XCD,M,IMF,AG,Antigua and Barbuda
1960-12-31,1.711949999,XCD,M,IMF,AG,Antigua and Barbuda
